date,content,predicted_sentiment
2024-05-15 06:44:02+00:00,london russias economy will grow further this year despite western sanctions over its ukraine invasion while israels war against hamas in gaza will weigh on neighbouring nations europes develop 3933 chars,Negative
2024-05-15 07:18:13+00:00,as israel keeps up its campaign against hamas arab leaders are mapping out ways to support postwar gaza placing one major condition on their involvement a pathway to palestinian statehood major 4682 chars,Positive
2024-05-15 08:02:02+00:00,jerusalem palestinians across the middle east on wednesday are marking the anniversary of their mass expulsion from what is now israel with protests and other events across the region at a time of mo 5355 chars,Negative
2024-05-15 08:13:28+00:00,we lived through the nakba not just once but several times said umm shadi sheikh khalil who was displaced from gaza city and now lives in a tent in the central gaza town of deir albalah the re 4245 chars,Neutral
2024-05-15 08:28:04+00:00,oilrich gulf arab states have made clear they will not help fund the postwar reconstruction of gaza without a clear pathway to palestinian statehood copyright taiwan presidential officeafp hando 4764 chars,Positive
2024-05-15 08:57:06+00:00,jerusalem ap palestinians across the middle east on wednesday are marking the anniversary of their mass expulsion from what is now israel with protests and other events across the region at a time 5308 chars,Negative
2024-05-15 09:30:18+00:00,while there are often differences between western and turkish elites the latter are by and large happy with the situation as it is today being able to extract concessions from opposing sides in a n 15311 chars,Positive
2024-05-15 09:34:08+00:00,cairo mezz plc notice of annual general meeting notice is hereby given that an annual general meeting of the shareholders of cairo mezz plc the company at its registered office at 33 vasilissi 13158 chars,Neutral
2024-05-15 09:35:11+00:00,brussels the european union on wednesday urged israel to end its military operation in gazas rafah immediately warning that failure to do so would undermine ties with the bloc should israel c 7018 chars,Negative
2024-05-15 10:46:03+00:00,adobe fixed multiple critical flaws in acrobat and reader ransomware attack on singing river health system impacted 895000 people microsoft patch tuesday security updates for may 2024 fixes 68654 chars,Negative
2024-05-15 11:19:06+00:00,iranian foreign minister hossein amirabdollahian said that iran has a strategy for regional cooperation with egypt according to reports in iranian media on may 15 he made the remarks in an intervi 3874 chars,Neutral
2024-05-15 11:41:00+00:00,in todays interconnected world staying connected while traveling is not a luxury but a necessity whether youre a remote worker constantly on the move or an adventurous traveler trying to explore 16188 chars,Positive
